"id","sku","name","brand","price","stock","category","created_at","size","hsn","aliases","alias1","alias2","distributor_price"
"bdef81ec-69c9-4d97-8f00-4a6e82bd3448","ST01","STETHOSCOPE","ACCUSURE","655.00","0",,"""2025-12-30T06:49:03.935Z""","No Size",,,,,
"bdf9b22c-8d59-4397-a31c-f21f4ea621fe","L-06","KNEE CAP (PAIR) OAC ** - S","Tynor","305.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"be1fdb5b-013e-4777-8e6c-3d43c05ae401","XB11","ANEROID SPHYGMOMANOMETER","ACCUSURE","1392.00","0",,"""2025-12-30T06:49:03.935Z""","No Size",,,,,
"beb272a0-964c-4477-8f83-ea372365be86","2001716","Morison MBD NAIL CLIPPER WITH MAGNIFIER - Y - D","Morison","200.00","0",,"""2025-12-20T17:49:08.577Z""","YELLOW",,,,,
"becebf70-bd61-4e38-b9eb-155f5e1d2839","B-07","CERVICAL COLLAR SOFT  - S","Tynor","374.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"bf067fd9-fe66-440f-887f-5cd4fb44d818","F-06","F-06 UM KNEE HINGE SUPPORT (BLACK) - XXL","UM","715.00","0",,"""2026-01-03T19:20:31.324Z""","XXL",,,,,
"bf1abc50-9f5b-4722-afb4-e28c42eb6bf1","2001726","Morison MBD XTRA SOFT DIAPER PANTS (XL)-7","Morison","92.81","0",,"""2025-12-20T17:49:08.577Z""","XL-7",,,"PantXL7",,
"bf85ad2d-12c2-45bf-9f8b-1e33fb0aa0d8","AS-0011","SENSOR STRIPS","ACCUSURE","1172.00","0",,"""2025-12-30T06:49:03.935Z""","50T",,,,,
"bf8a118c-4b02-4a36-9beb-63800511467f","J-01","KNEE SUPPORT HINGED (NEOPRENE) SPL. SIZE - XXL","Tynor","2132.00","0",,"""2026-01-06T17:25:41.774Z""","XXL",,,,,
"c00b1605-8531-4536-8402-dd693a427d84","C-02","UNIVERSAL SHOULDER IMMOBILISER - UNI","Tynor","856.00","0",,"""2026-01-06T17:25:41.774Z""","UNI",,,,,
"c04f09a0-a7b0-4aa9-9a4a-e8d6add8700a","E-02","E-02 UM MALLET FINGER SPLINT (GREY/WHITE) - UNI","UM","105.00","0",,"""2026-01-03T19:20:31.324Z""","UNI",,,,,
"c0d4361a-a0e3-4c70-9d28-4c187edc3e72","2000695","Morison FAST DRY BABY MAT -S-BLUE","Morison","199.00","0",,"""2025-12-20T17:49:08.577Z""","S-BLUE",,,,,
"c0dd8841-4bd4-4e25-9453-19214346794b","B-02","B-02 UM CERVICAL SOFT COLLAR WITH SUPPORT (LT.GREY) - M","UM","370.00","0",,"""2026-01-03T19:20:31.324Z""","M",,,,,
"c0f9e428-cb7a-4af8-ba72-457f03220e15","MT‐1027","DIGITAL THERMOMETER","ACCUSURE","222.00","0",,"""2025-12-30T06:49:03.935Z""","MT1027",,,,,
"c119215f-818c-42dd-96a6-d0c3a063b686","I-67","MEDICAL COMPRESSION STOCKING KNEE HIGH CLASS 2 (PAIR) * - XL","Tynor","1472.00","0",,"""2026-01-06T17:25:41.774Z""","XL",,,,,
"c143d5ef-863c-4c43-9f0b-27a320ac8320","F-15","F-15 UM KNEE SUPPORT 3D (RED/BLACK) - XL","UM","490.00","0",,"""2026-01-03T19:20:31.324Z""","XL",,,,,
"c16c9d2c-dd5f-46ed-8ea5-b4603dc93f27","A-10","A-10 UM ABDOMINAL BINDER 9'' (GREY) - XXL","UM","715.00","0",,"""2026-01-03T19:20:31.324Z""","XXL",,,,,
"c1f994b3-0e7a-4d0c-bbf5-eb061f2f225c","A-12","A-12 ABDOMINAL SUPPORT NEOPRENE BLACK -XXL","UM","1150.00","0",,"""2026-01-03T19:20:31.324Z""","XXL",,,,,
"c2654f91-95c5-4ae2-b9b9-c18b918c1704","I-11","I-11 UM HEEL CUSHION SILICONE TW - S","UM","800.00","0",,"""2026-01-03T19:20:31.324Z""","S",,,,,
"c2f80c20-44d0-4208-98d1-bb622927a7ff","E-03","WRIST & FOREARM SPLINT RIGHT - M","Tynor","720.00","0",,"""2026-01-06T17:25:41.774Z""","M",,,,,
"c2fe0467-3b9f-43f7-bf89-0eec079f62c6","K-15","ARCH SUPPORT SEMI PRO(PAIR)-L","Tynor","422.00","0",,"""2026-01-06T17:25:41.774Z""","L",,,,,
"c31478d7-5e7a-40f4-bf1d-4574188d7679","AS-0012","SENSOR STRIPS","ACCUSURE","515.00","0",,"""2025-12-30T06:49:03.935Z""","25T",,,,,
"c32c3a8e-dc3f-4c8b-bf61-e6ad4024b1ad","A-06","LUMBO SACRAL BELT - BLACK - S","Tynor","1087.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"c357a1d5-a8fd-4512-9b9f-eb7ef0fd291a","E-01","ELASTIC WRIST SPLINT RIGHT - L","Tynor","421.00","0",,"""2026-01-06T17:25:41.774Z""","L",,,,,
"c3985d5b-f492-4a8c-a9b1-1d016de563f1","L-21","AUXILIARY CRUTCH (PAIR) S","Tynor","2870.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"c3d312b7-4289-4832-a61c-2666e9cc3a8e","D-25","ANKLET COMFEEL (PAIR) SPL. SIZE - XXL","Tynor","385.00","0",,"""2026-01-06T17:25:41.774Z""","XXL",,,,,
"c3dd5671-2708-4c1d-9e8e-b75bf7a1e2e5","I-67","MEDICAL COMPRESSION STOCKING KNEE HIGH CLASS 2 (PAIR) * - S","Tynor","1472.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"c3e3a06e-950e-4215-8a32-8176722c8da0","E-11","ELBOW SUPPORT - S","Tynor","256.00","0",,"""2026-01-06T17:25:41.774Z""","S",,,,,
"c4272f09-3147-4350-bfee-75ebbb5f6f1f","H-02","H-02 UM LEG TRACTION BRACE (GREY) - L","UM","650.00","0",,"""2026-01-03T19:20:31.324Z""","L",,,,,
"c4612607-8663-4714-af64-7893cbf750fc","2001721","Morison MBD XTRA SOFT DIAPER S(160)+S2 (10) COMBO","Morison","18.75","0",,"""2025-12-20T17:49:08.577Z""","S-2",,,"PantS2",,
